          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
 16.0535 &  -0.0004 &   0.0020 &   0.0023 &   0.0000 \\ 
 16.0535 &  -0.0001 &   0.0024 &   0.0023 &   0.0000 \\ 
 15.9734 &  -0.0000 &   0.0024 &   0.0023 &   0.0000 \\ 
 15.9734 &   0.0003 &   0.0023 &   0.0023 &   0.0000 \\ 
 15.9734 &  -0.0002 &   0.0022 &   0.0023 &   0.0000 \\ 
 15.9734 &  -0.0000 &   0.0021 &   0.0023 &   0.0000 \\ 
 16.3766 &   0.0001 &   0.0040 &   0.0039 &   0.0000 \\ 
 16.3766 &  -0.0005 &   0.0046 &   0.0039 &   0.0000 \\ 
 16.3766 &   0.0002 &   0.0035 &   0.0039 &   0.0000 \\ 
 16.3766 &   0.0004 &   0.0044 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    22 
 17.7577 &  -0.0002 &   0.0024 &   0.0023 &   0.0000 \\ 
 17.7577 &   0.0001 &   0.0021 &   0.0023 &   0.0000 \\ 
 17.7577 &  -0.0004 &   0.0022 &   0.0023 &   0.0000 \\ 
 17.7577 &   0.0002 &   0.0019 &   0.0023 &   0.0000 \\ 
 17.1529 &   0.0003 &   0.0023 &   0.0023 &   0.0000 \\ 
 17.1529 &  -0.0004 &   0.0023 &   0.0023 &   0.0000 \\ 
 17.1529 &   0.0004 &   0.0024 &   0.0023 &   0.0000 \\ 
 17.1529 &   0.0001 &   0.0019 &   0.0023 &   0.0000 \\ 
 17.5033 &   0.0004 &   0.0040 &   0.0039 &   0.0000 \\ 
 17.5033 &   0.0005 &   0.0042 &   0.0039 &   0.0000 \\ 
 17.5033 &   0.0003 &   0.0039 &   0.0039 &   0.0000 \\ 
 17.5033 &  -0.0008 &   0.0035 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    23 
 16.9244 &   0.0003 &   0.0022 &   0.0023 &   0.0000 \\ 
 16.9244 &  -0.0003 &   0.0025 &   0.0023 &   0.0000 \\ 
 16.9244 &   0.0003 &   0.0021 &   0.0023 &   0.0000 \\ 
 16.9244 &  -0.0002 &   0.0022 &   0.0023 &   0.0000 \\ 
 18.0776 &  -0.0001 &   0.0024 &   0.0023 &   0.0000 \\ 
 18.0776 &   0.0002 &   0.0021 &   0.0023 &   0.0000 \\ 
 18.0776 &   0.0000 &   0.0021 &   0.0023 &   0.0000 \\ 
 18.0776 &   0.0002 &   0.0022 &   0.0023 &   0.0000 \\ 
 18.7304 &  -0.0005 &   0.0039 &   0.0039 &   0.0000 \\ 
